Author,Delay,Previous Characters,Characters,Ratio,Mean,STDEV,Ratio2,Mean2,STDEV2,Range,Range2,Conversation,Violation
112,26,77,26,1,1.51043725865396,0.737796317095412,3.96153846153846,4.65562430648439,2.38066461815348,2,2,2,0
112,17,105,26,1.52941176470588,1.51043725865396,0.737796317095412,7.70588235294118,4.65562430648439,2.38066461815348,3,4,2,0
112,12,100,27,2.25,1.51043725865396,0.737796317095412,10.5833333333333,4.65562430648439,2.38066461815348,4,4,2,0
112,16,121,7,0.4375,1.51043725865396,0.737796317095412,8,4.65562430648439,2.38066461815348,1,4,2,0
56k,22,7,71,3.22727272727273,2.54905375937411,1.14878675231151,3.54545454545455,4.82982496966934,3.07693095150193,3,2,1,0
56k,19,53,30,1.57894736842105,2.54905375937411,1.14878675231151,4.36842105263158,4.82982496966934,3.07693095150193,2,2,1,3
56k,13,17,49,3.76923076923077,2.54905375937411,1.14878675231151,5.07692307692308,4.82982496966934,3.07693095150193,4,3,1,0
56k,19,56,43,2.26315789473684,2.54905375937411,1.14878675231151,5.21052631578947,4.82982496966934,3.07693095150193,2,3,1,0
56k,50,59,64,1.28,2.54905375937411,1.14878675231151,2.46,4.82982496966934,3.07693095150193,1,2,1,3
56k,15,24,67,4.46666666666667,2.54905375937411,1.14878675231151,6.06666666666667,4.82982496966934,3.07693095150193,4,3,1,0
56k,51,110,109,2.13725490196078,2.54905375937411,1.14878675231151,4.29411764705882,4.82982496966934,3.07693095150193,2,2,1,3
56k,105,41,91,0.866666666666667,2.54905375937411,1.14878675231151,1.25714285714286,4.82982496966934,3.07693095150193,1,1,1,3
56k,21,112,69,3.28571428571429,2.54905375937411,1.14878675231151,8.61904761904762,4.82982496966934,3.07693095150193,3,4,1,0
56k,30,28,55,1.83333333333333,2.54905375937411,1.14878675231151,2.76666666666667,4.82982496966934,3.07693095150193,2,2,1,0
56k,46,43,65,1.41304347826087,2.54905375937411,1.14878675231151,2.34782608695652,4.82982496966934,3.07693095150193,2,2,1,3
56k,21,66,86,4.09523809523809,2.54905375937411,1.14878675231151,7.23809523809524,4.82982496966934,3.07693095150193,4,3,1,3
56k,8,25,23,2.875,2.54905375937411,1.14878675231151,6,4.82982496966934,3.07693095150193,3,3,1,3
